"Code
(PAP)",Procurement Program / Project,"PMO/
End-User","Mode of
Procurement",Schedule for Each Procuremen Activity,,,,Source of Funds,Estimated Budget (Php),,,"Remarks
(Brief Desciptions of Program/Project"
,,,,Ads/Post of IB/REI,Sub/Open of Bids,Notice of Awards,Contract Signing,,Total,MOOE,CO,
,BASIC ARTS AND SCIENCES DEPARTMENT,,,,,,,,,,,
,,,,,,,,,,,,
,Physics Laboratory Equipment Supplies and Materials,,,"March 03, 2025","March 11, 2025","March 11, 2025","March 11, 2025",," ₱50,000.00 ",,,
,Folder,,,,,,,,,,,
,1 Steel Cabinet,,,"June 2, 2025","June 10, 2025","June 13, 2025","June 14, 2025",," 20,000.00 ",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,TOTAL," ₱70,000.00 ",,,
,,,,,,,,,,,,
,Prepared:,,,,Recommending Approval:,,,,Approved:,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,[Name],,,,[Name],,,,[Name],,,
,[Designation],,,,[Designation],,,,[Designation],,,
